"scientificName","dataFrom","continent","n"
"Andrena spreta Pérez, 1895","points","Africa",6
"Andrena striatifrons Cockerell, 1897","points","Africa",26
"Andrena subtilis Smith, 1879","points","Africa",13
"Andrena surda Cockerell, 1910","points","Africa",5
"Andrena tenuistriata Pérez, 1895","points","Africa",15
"Andrena thaspii Graenicher, 1903","points","Africa",19
"Andrena thoracica (Fabricius, 1775)","points","Africa",2
"Andrena tiaretta Warncke, 1974","points","Africa",3
"Andrena topazana Cockerell, 1906","points","Africa",11
"Andrena transnigra Viereck, 1904","points","Africa",51
"Andrena trevoris Cockerell, 1897","points","Africa",16
"Andrena tridens Robertson, 1902","points","Africa",19
"Andrena tuberculifera Pérez, 1895","points","Africa",22
"Andrena tunetana Schmiedeknecht, 1900","points","Africa",3
"Andrena vachali Pérez, 1895","points","Africa",4
"Andrena variabilis Smith, 1853","points","Africa",5
"Andrena verticalis Pérez, 1895","points","Africa",9
"Andrena vetula Lepeletier, 1841","points","Africa",11
"Andrena vicina Smith, 1853","points","Africa",324
"Andrena vicinoides Viereck, 1904","points","Africa",5
"Andrena virginiana Mitchell, 1960","points","Africa",1
"Andrena w-scripta Viereck, 1904","points","Africa",25
"Andrena washingtoni Cockerell, 1901","points","Africa",2
"Andrena wheeleri Graenicher, 1904","points","Africa",25
"Andrena wilkella (Kirby, 1802)","points","Africa",10
"Andrena wilmattae Cockerell, 1906","points","Africa",1
"Anthidiellum absonulum (Cockerell, 1932)","points","Africa",32
"Anthidiellum apicatum (Smith, 1879)","points","Africa",6
"Anthidiellum bipectinatum Pasteels, 1984","points","Africa",12
"Anthidiellum bulawayense Mavromoustakis, 1937","points","Africa",1
"Anthidiellum eritrinum (Friese, 1915)","points","Africa",2
"Anthidiellum micheneri Pauly, 2001","points","Africa",5
"Anthidiellum notatum (Latreille, 1809)","points","Africa",9
"Anthidiellum otavicum (Cockerell, 1936)","points","Africa",2
"Anthidiellum polyochrum Mavromoustakis, 1937","points","Africa",3
"Anthidiellum robertsoni (Cockerell, 1904)","points","Africa",1
"Anthidiellum sternale Pasteels, 1984","points","Africa",8
"Anthidiellum strigatum (Panzer, 1805)","points","Africa",2
"Anthidiellum tegwaniense (Cockerell, 1914)","points","Africa",4
"Anthidiellum zebra (Friese, 1904)","points","Africa",71
"Anthidioma chalicodomoides Pasteels, 1984","points","Africa",2
"Anthidioma obibense Griswold and Gonzalez, 2013","points","Africa",1
"Anthidium auritum Klug, 1832","points","Africa",2
"Anthidium basale Pasteels, 1984","points","Africa",2
"Anthidium bechuanalandicum Mavromoustakis, 1939","points","Africa",2
"Anthidium bischoffi Mavromoustakis, 1954","points","Africa",3
"Anthidium cingulatum Latreille, 1809","points","Africa",26
"Anthidium clypeodentatum Swenk, 1914","points","Africa",22
"Anthidium cordiforme Friese, 1922","points","Africa",28
"Anthidium echinatum Klug, 1832","points","Africa",16
"Anthidium eremicum Alfken, 1938","points","Africa",12
"Anthidium florentinum (Fabricius, 1775)","points","Africa",2
"Anthidium formosum Cresson, 1878","points","Africa",1
"Anthidium maculifrons Smith, 1854","points","Africa",1
"Anthidium manicatum (Linnaeus, 1758)","points","Africa",401
"Anthidium minimum Pasteels, 1969","points","Africa",8
"Anthidium mormonum Cresson, 1878","points","Africa",6
"Anthidium niveocinctum Gerstäcker, 1857","points","Africa",15
"Anthidium oblongatum (Illiger, 1806)","points","Africa",75
"Anthidium pontis Cockerell, 1933","points","Africa",17
"Anthidium pulchellum Klug, 1832","points","Africa",9
"Anthidium pullatum Morice, 1916","points","Africa",1
"Anthidium punctatum Latreille, 1809","points","Africa",3
"Anthidium rotundoscutellare Pasteels, 1984","points","Africa",1
"Anthidium severini Vachal, 1903","points","Africa",50
"Anthidium sinuatellum Pasteels, 1984","points","Africa",1
"Anthidium soni Mavromoustakis, 1935","points","Africa",5
"Anthidium taeniatum Latreille, 1809","points","Africa",18
"Anthidium tenuiflorae Cockerell, 1907","points","Africa",71
"Anthidium tesselatum Klug, 1832","points","Africa",8
"Anthidium utahense Swenk, 1914","points","Africa",10
"Anthophora abrochia Eardley and Brooks, 1989","points","Africa",35
"Anthophora abrupta Say, 1837","points","Africa",5
"Anthophora aegyptiaca (Dalla Torre and Friese, 1895)","points","Africa",6
"Anthophora affinis Brullé, 1832","points","Africa",2
"Anthophora albitomentosa Eardley and Brooks, 1989","points","Africa",13
"Anthophora albosignata (Friese, 1896)","points","Africa",1
"Anthophora alfkenella Priesner, 1957","points","Africa",3
"Anthophora alternans (Klug, 1845)","points","Africa",1
"Anthophora armata Friese, 1905","points","Africa",38
"Anthophora atriceps Pérez, 1879","points","Africa",3
"Anthophora atroalba Lepeletier, 1841","points","Africa",18
"Anthophora auone Eardley and Brooks, 1989","points","Africa",8
"Anthophora basalis Smith, 1854","points","Africa",50
"Anthophora blanda Pérez, 1895","points","Africa",2
"Anthophora bomboides Kirby, 1837","points","Africa",71
"Anthophora braunsiana Friese, 1905","points","Africa",52
"Anthophora calcarata Lepeletier, 1841","points","Africa",3
"Anthophora canescens Brullé, 1832","points","Africa",1
"Anthophora cinerascens Lepeletier, 1841","points","Africa",1
"Anthophora dispar Lepeletier, 1841","points","Africa",7
"Anthophora diversipes Friese, 1922","points","Africa",97
"Anthophora edwardsii Cresson, 1878","points","Africa",1
"Anthophora epichariformis Gribodo, 1893","points","Africa",9
"Anthophora excelsior (Strand, 1917)","points","Africa",1
"Anthophora flaviscopa Eardley and Brooks, 1989","points","Africa",2
"Anthophora fulvitarsis Brullé, 1832","points","Africa",2
"Anthophora glaucopis Friese, 1905","points","Africa",1
"Anthophora hirtiventris Friese, 1911","points","Africa",19
"Anthophora humilis (Spinola, 1838)","points","Africa",2
"Anthophora krugeri Eardley and Brooks, 1989","points","Africa",62
"Anthophora labrosa Friese, 1911","points","Africa",72
"Anthophora leonis Cockerell, 1933","points","Africa",6
"Anthophora leucopyga Friese, 1911","points","Africa",4
"Anthophora matopensis Cockerell, 1933","points","Africa",28
"Anthophora mellina Priesner, 1957","points","Africa",1
"Anthophora mephistophelicana Strand, 1911","points","Africa",2
"Anthophora moricei (Friese, 1899)","points","Africa",2
"Anthophora muscaria Fedtschenko, 1875","points","Africa",24
"Anthophora namaquensis Eardley and Brooks, 1989","points","Africa",3
"Anthophora nigrociliata Pérez, 1895","points","Africa",1
"Anthophora occidentalis Cresson, 1869","points","Africa",3
"Anthophora oldi Meade-Waldo, 1914","points","Africa",24
"Anthophora pacifica Cresson, 1878","points","Africa",7
"Anthophora pauperata Walker, 1871","points","Africa",18
"Anthophora peritomae Cockerell, 1905","points","Africa",13
"Anthophora plumipes (Pallas, 1772)","points","Africa",1
"Anthophora porterae Cockerell, 1900","points","Africa",1
"Anthophora praecox Friese, 1909","points","Africa",186
"Anthophora priesneri Alfken, 1932","points","Africa",2
"Anthophora rhodesiae Meade-Waldo, 1914","points","Africa",1
"Anthophora rivolleti Pérez, 1895","points","Africa",11
"Anthophora robusta (Klug, 1845)","points","Africa",2
"Anthophora ruficaudis (Cameron, 1905)","points","Africa",20
"Anthophora rufolanata Dours, 1870","points","Africa",153
"Anthophora rufovestita Cockerell, 1947","points","Africa",5
"Anthophora schultzei Friese, 1909","points","Africa",18
"Anthophora scopipes Spinola, 1838","points","Africa",11
