"variable","Name","Observed","Estimate","Est_s.e.","95%Lower","95%Upper","n","s.e.","groupNo"
"Somalia","iChao",NA,152.408,NA,111.75,238.047,"109",30.517,20
"Somalia","iChao",NA,152.408,NA,111.75,238.047,"109",30.517,20
"Suriname","iChao",NA,205.613,NA,184.853,238.068,"904",13.306,21
"Botswana","iChao",NA,214.453,NA,197.468,238.077,"772",10.247,3
"Jersey","iNEXT",120,189.0712806861875,25.005151009674083,140.06208527924093,238.08047609313405,"966",NA,11
"Somalia","iChao",NA,151.126,NA,110.533,238.092,"114",30.747,20
"Somalia","iChao",NA,151.126,NA,110.533,238.092,"114",30.747,20
"Suriname","iChao",NA,212.821,NA,194.633,238.104,"748",10.969,21
"Sri Lanka","iNEXT",142,196.37000454132607,21.301763605838282,154.61931506669697,238.12069401595517,"4404",NA,20
"Vietnam","iNEXT",118,190.15020718232046,24.481814471892136,142.1667325412204,238.13368182342052,"724",NA,24
"Nicaragua","iNEXT",180,213.0562711744777,12.803965661013407,187.96095961960384,238.15158272935156,"3696",NA,15
"Nicaragua","iNEXT",180,210.07512057512056,14.342997753396942,181.96336154812366,238.18687960211747,"3663",NA,15
"Botswana","iChao",NA,212.179,NA,194.196,238.208,"709",11.074,3
"Lao","iNEXT",118,187.9272194989107,25.65614099128356,137.64210717371316,238.21233182410822,"612",NA,12
"Sri Lanka","iNEXT",142,197.67126673028457,20.707740712447784,157.08484073269312,238.25769272787602,"4302",NA,20
"Suriname","iChao",NA,209.581,NA,190.011,238.268,"770",12.131,21
"Guernsey","iNEXT",112,188.89793221393035,25.193085279461055,139.52039240674048,238.2754720211202,"536",NA,9
"Guernsey","iChao",NA,187.678,NA,157.352,238.283,"503",20.113,9
"El Salvador","iChao",NA,180.351,NA,151.035,238.284,"2140",21.264,7
"Botswana","iChao",NA,214.036,NA,196.761,238.29,"924",10.472,3
"Niger","iNEXT",59,157.87640449438203,41.05310092107735,77.4138052353823,238.33900375338175,"89",NA,15
"Burundi","iNEXT",87,175.23399209486166,32.252793874878705,112.01967769930535,238.44830649041796,"110",NA,4
"Botswana","iNEXT",154,204.22385078761718,17.476601770049918,169.9703407461704,238.47736082906397,"839",NA,3
"Iraq","iNEXT",107,182.33301158301157,28.64922094036124,126.18157035477283,238.48445281125032,"259",NA,10
"Somalia","iChao",NA,149.936,NA,109.343,238.513,"119",31.054,20
"Gabon","iNEXT",175,208.31004583178498,15.417410102756891,178.0924772954975,238.52761436807245,"897",NA,8
"Iraq","iNEXT",107,185.08764940239044,27.274850551562228,131.62992463761606,238.54537416716482,"251",NA,10
"Trinidad and Tobago","iChao",NA,189.483,NA,161.802,238.568,"2199",18.956,22
"Nicaragua","iChao",NA,218.127,NA,204.779,238.665,"3696",8.485,15
"Liberia","iNEXT",110,190.8948170731707,24.38973661410701,143.0918117171031,238.69782242923833,"246",NA,12
"Gabon","iChao",NA,219.88,NA,206.611,238.72,"1041",8.091,8
"Botswana","iChao",NA,216.602,NA,200.21,238.808,"839",9.755,3
"Guernsey","iChao",NA,188.641,NA,158.303,238.857,"507",20.035,9
"Belize","iNEXT",163,209.40544891640866,15.040208058174487,179.92718280239757,238.88371503041975,"2975",NA,3
