"variable","Name","Estimate","s.e.","95%Lower","95%Upper","n","Observed","Est_s.e."
"Asia","iNEXT",8146.2181443345335,NA,7955.257612398431,8337.178676270636,"201054",6184,97.43063313528971
"Europe","iNEXT",3211.0261106740245,NA,3088.6805916083617,3333.3716297396873,"3388464",2516,62.42233022173297
"North America","iNEXT",6375.150720016771,NA,6250.236579751425,6500.064860282117,"2771596",5526,63.73287532355323
"Oceania","iNEXT",2433.4706329876367,NA,2346.272336413926,2520.6689295613473,"268102",2049,44.489744332814126
"South America","iNEXT",5320.440763847035,NA,5162.2798930557565,5478.601634638313,"397598",4349,80.69580463663164
"Africa","iNEXT",6448.008453159732,NA,6263.0501756518015,6632.966730667663,"252379",4976,94.36820215415081
"Asia","iNEXT",8419.873649416753,NA,8207.537117945461,8632.210180888045,"195453",6184,108.33695575335844
"Europe","iNEXT",3018.207320808248,NA,2912.475481481457,3123.939160135039,"3391657",2516,53.945807249924144
"North America","iNEXT",6425.12162694213,NA,6312.141896766604,6538.101357117656,"2772694",5526,57.64377869526984
"Oceania","iNEXT",2389.6068507180416,NA,2305.1483164791725,2474.0653849569107,"270885",2049,43.09188072080266
"South America","iNEXT",5461.998442597527,NA,5312.64174316108,5611.3551420339745,"399944",4349,76.20379793432633
"Africa","iNEXT",6210.024667610216,NA,6041.176188262574,6378.873146957858,"257503",4976,86.14876634443141
"Asia","iNEXT",7955.467865652064,NA,7766.79939593235,8144.136335371777,"204829",6184,96.26119214837937
"Europe","iNEXT",3024.1299313655722,NA,2904.8926236780967,3143.367239053048,"3388997",2516,60.83647894961553
"North America","iNEXT",6303.632487841311,NA,6173.565548358369,6433.699427324253,"2772109",5526,66.3619028252016
"Oceania","iNEXT",2440.998539961115,NA,2342.627134374209,2539.369945548021,"268486",2049,50.19041490703248
"South America","iNEXT",5267.037447617316,NA,5136.1429765484645,5397.931918686167,"401332",4349,66.78412057636264
"Africa","iNEXT",6355.697641033179,NA,6191.119098393147,6520.276183673211,"260564",4976,83.97018717599212
"Asia","iNEXT",8237.750878346775,NA,8031.626859033092,8443.874897660457,"206146",6184,105.16724844923777
"Europe","iNEXT",3096.5828163055735,NA,3000.683335685283,3192.482296925864,"3390339",2516,48.929205524557254
"North America","iNEXT",6372.920515803695,NA,6247.155309892848,6498.685721714542,"2773964",5526,64.1671004686141
"Oceania","iNEXT",2427.945944834437,NA,2341.064467881918,2514.8274217869557,"266192",2049,44.32809869866429
"South America","iNEXT",5355.808799591708,NA,5219.55426090259,5492.0633382808255,"399344",4349,69.51889920624888
"Africa","iNEXT",6431.1026152680615,NA,6253.279940816688,6608.925289719435,"259553",4976,90.72752145142245
"Asia","iNEXT",8317.929142013918,NA,8095.775205542104,8540.083078485732,"203608",6184,113.34592789670407
"Europe","iNEXT",3062.7903524816443,NA,2957.9264967283816,3167.654208234907,"3388798",2516,53.50295035032042
"North America","iNEXT",6408.337874072248,NA,6267.8549730168515,6548.820775127645,"2771619",5526,71.6762665862781
"Oceania","iNEXT",2488.1869821299665,NA,2386.313463219942,2590.060501039991,"267696",2049,51.977240252162645
"South America","iNEXT",5424.314894062264,NA,5297.851133995789,5550.77865412874,"404574",4349,64.5235121992065
"Africa","iNEXT",6372.595662020634,NA,6212.113008741427,6533.078315299842,"253080",4976,81.8804093060252
"Asia","iNEXT",8402.22854922477,NA,8197.72786478665,8606.72923366289,"196992",6184,104.33900115063128
"Europe","iNEXT",3062.4284103284986,NA,2949.1687884692515,3175.6880321877456,"3391858",2516,57.78658319878557
"North America","iNEXT",6436.099985440245,NA,6315.9361080647095,6556.263862815781,"2774363",5526,61.309227273242335
"Oceania","iNEXT",2395.175509948818,NA,2309.6556064286688,2480.6954134689677,"269266",2049,43.63340561087835
"South America","iNEXT",5422.530391525158,NA,5276.273862406191,5568.786920644125,"396811",4349,74.62204931958932
"Africa","iNEXT",6182.616510678399,NA,6041.836670150125,6323.396351206673,"255345",4976,71.82776910123208
"Asia","iNEXT",8036.593792386236,NA,7826.659578122408,8246.528006650064,"197459",6184,107.11126118630867
"Europe","iNEXT",3045.660860841429,NA,2940.5586282289228,3150.763093453935,"3392920",2516,53.62457343172591
"North America","iNEXT",6389.7446159938845,NA,6265.783059970044,6513.706172017725,"2772480",5526,63.24685402468298
"Oceania","iNEXT",2415.166163080168,NA,2330.305006120357,2500.0273200399793,"266074",2049,43.29730425109087
"South America","iNEXT",5319.793407620806,NA,5185.980314189653,5453.606501051959,"397231",4349,68.27324098129029
"Africa","iNEXT",6400.95218298231,NA,6215.224457177706,6586.679908786913,"251826",4976,94.76078502952095
"Asia","iNEXT",8174.868383473494,NA,7973.297733684522,8376.439033262464,"198187",6184,102.84405804337943
"Europe","iNEXT",3084.1816505725574,NA,2974.0155975788152,3194.3477035662995,"3389919",2516,56.208202733681816
"North America","iNEXT",6346.176604754134,NA,6222.626954899456,6469.726254608812,"2772454",5526,63.036693954185914
"Oceania","iNEXT",2490.48338185152,NA,2386.594482775169,2594.3722809278706,"267877",2049,53.00551433384142
"South America","iNEXT",5374.5656050007565,NA,5226.462853684322,5522.668356317191,"397998",4349,75.5640167292104
"Africa","iNEXT",6482.164549803607,NA,6302.417157683598,6661.911941923616,"263295",4976,91.7095383067411
"Asia","iNEXT",8290.63890207176,NA,8072.78829095893,8508.48951318459,"209949",6184,111.15031338902543
"Europe","iNEXT",3130.444508979087,NA,3015.8354400843527,3245.0535778738213,"3389359",2516,58.47508923569821
"North America","iNEXT",6379.887927320178,NA,6263.469098936899,6496.306755703457,"2772599",5526,59.39845288055087
"Oceania","iNEXT",2502.1265129811864,NA,2407.2262851158266,2597.026740846546,"267783",2049,48.419373322122574
"South America","iNEXT",5493.008207246512,NA,5326.5657764567895,5659.4506380362345,"401511",4349,84.9211679921668
"Africa","iNEXT",6259.54092988708,NA,6111.388989451779,6407.692870322381,"253829",4976,75.58911367959045
"Asia","iNEXT",8199.847807629629,NA,8000.1382190116055,8399.557396247652,"197935",6184,101.89451958980216
"Europe","iNEXT",3107.8897335646607,NA,3000.4768977785743,3215.302569350747,"3388187",2516,54.803474264499314
"North America","iNEXT",6406.671838041173,NA,6259.959450376744,6553.384225705602,"2772483",5526,74.85463448393836
"Oceania","iNEXT",2419.3463042382227,NA,2328.0849892843316,2510.607619192114,"265119",2049,46.5627509861144
"South America","iNEXT",5309.554302483673,NA,5177.333688928089,5441.774916039258,"398492",4349,67.46073631889347
"Africa","iNEXT",6275.113365511208,NA,6107.808419573586,6442.41831144883,"254802",4976,85.36123482742627
"Asia","iNEXT",8151.477270606862,NA,7926.524783116432,8376.42975809729,"202453",6184,114.77378628629184
"Europe","iNEXT",3061.993614959589,NA,2966.8955000719225,3157.091729847256,"3391813",2516,48.52033794385435
"North America","iNEXT",6368.6054106394195,NA,6246.127989941749,6491.08283133709,"2774958",5526,62.489628209373805
"Oceania","iNEXT",2436.280535185396,NA,2342.426675019167,2530.134395351625,"268655",2049,47.88550244113477
"South America","iNEXT",5307.389976779821,NA,5173.4780162744055,5441.301937285237,"396928",4349,68.32368429302588
"Africa","iNEXT",6375.145110231556,NA,6187.907153257604,6562.383067205508,"255227",4976,95.53132529518987
"Asia","iNEXT",8240.833674055946,NA,8032.369340108432,8449.298008003461,"201662",6184,106.3613084688572
"Europe","iNEXT",3008.0018791008524,NA,2909.832842424418,3106.170915777287,"3388662",2516,50.087163565646875
"North America","iNEXT",6332.9635645117305,NA,6201.789627285443,6464.137501738018,"2773930",5526,66.92670797064162
"Oceania","iNEXT",2417.7605338284557,NA,2336.655989711658,2498.8650779452532,"268986",2049,41.3806298261294
"South America","iNEXT",5294.015732006752,NA,5164.569638340577,5423.461825672927,"399156",4349,66.04513893481189
"Africa","iNEXT",6322.6475865636085,NA,6157.490484529748,6487.804688597469,"252447",4976,84.26537596435384
"Asia","iNEXT",8146.924144601231,NA,7951.272955496965,8342.575333705498,"199438",6184,99.823869544307
"Europe","iNEXT",3065.884453213408,NA,2947.870192515643,3183.898713911173,"3390766",2516,60.212463917014105
"North America","iNEXT",6284.398897762601,NA,6169.486547887182,6399.311247638021,"2772858",5526,58.62982727327325
"Oceania","iNEXT",2486.6262600749988,NA,2388.0036559521786,2585.248864197819,"265728",2049,50.318579780415696
"South America","iNEXT",5303.4580699412945,NA,5183.532180578597,5423.383959303992,"398493",4349,61.187802586505484
"Africa","iNEXT",6366.09219646025,NA,6199.056784362162,6533.127608558339,"247732",4976,85.2237150353998
"Asia","iNEXT",8301.636131739355,NA,8087.263691128297,8516.008572350413,"193798",6184,109.37570399354288
"Europe","iNEXT",3064.2454523691845,NA,2959.1512467530606,3169.3396579853083,"3391226",2516,53.62047795015295
"North America","iNEXT",6392.632523270847,NA,6265.061984893608,6520.203061648086,"2772781",5526,65.08820538719048
"Oceania","iNEXT",2429.174392273389,NA,2345.3042748800185,2513.0445096667595,"265504",2049,42.79166252794811
"South America","iNEXT",5501.172684264502,NA,5360.4501009875485,5641.895267541456,"393840",4349,71.79855568110203
"Africa","iNEXT",6388.231368487399,NA,6204.405822149367,6572.056914825431,"255926",4976,93.79026746819045
"Asia","iNEXT",8317.211912021594,NA,8122.325500707451,8512.098323335736,"203977",6184,99.43366962422871
"Europe","iNEXT",3151.8386749966535,NA,3032.458444617444,3271.218905375863,"3390009",2516,60.909400030238075
"North America","iNEXT",6368.065564646726,NA,6237.856167805948,6498.274961487504,"2773450",5526,66.4345864862075
"Oceania","iNEXT",2415.2313982630662,NA,2327.0230136541986,2503.439782871934,"269218",2049,45.0051048410298
"South America","iNEXT",5452.784681275846,NA,5282.452672137341,5623.116690414351,"400164",4349,86.90568320747833
"Africa","iNEXT",6236.154085431204,NA,6074.198692776583,6398.109478085826,"251756",4976,82.63182075390411
"Asia","iNEXT",8073.853525917873,NA,7857.318935605334,8290.388116230411,"193530",6184,110.47886186712375
"Europe","iNEXT",3061.851367538363,NA,2951.926730691046,3171.7760043856797,"3393630",2516,56.08502896705673
"North America","iNEXT",6350.349557023557,NA,6237.392602039957,6463.306512007158,"2773685",5526,57.63215848586537
"Oceania","iNEXT",2459.4013118931975,NA,2378.927149221239,2539.8754745651563,"265590",2049,41.059000729977036
