"name","observedRichness","continent","est","lower","upper","increasePercent","increase","statistic","Chao_increase","colourBar"
"Kazakhstan",826,"Asia",1308.0445,400.8879999999999,579.24,58.358898305084736,482.0445,"iChao",482.0445,-15
"Peru",859,"South America",1288.485,350.73350000000005,525.2874999999999,49.99825378346914,429.4849999999999,"iChao",429.4849999999999,-15
"Italy",1045,"Europe",1305.4375,219.61850000000004,308.7355,24.922248803827745,260.4375,"iChao",260.4375,-15
"Algeria",858,"Africa",1350.3755,413.1485,584.3589999999999,57.38642191142191,492.3755000000001,"iChao",492.3755000000001,-15
"Morocco",987,"Africa",1450.6505,394.8544999999999,547.9079999999999,46.97573454913879,463.6505,"iChao",463.6505,-15
"Spain",1167,"Europe",1526.566,298.94900000000007,431.78600000000006,30.81113967437876,359.56600000000003,"iChao",359.56600000000003,-15
"Iran",1112,"Asia",1611.198,422.65200000000004,589.492,44.89190647482013,499.19799999999987,"iChao",499.19799999999987,-15
"South Africa",1240,"Africa",1561.08,262.4385000000002,395.03600000000006,25.893548387096764,321.0799999999999,"iChao",321.0799999999999,-15
"Greece",1191,"Europe",1637.0765,388.19450000000006,518.2325000000001,37.45394626364398,446.0764999999999,"iChao",446.0764999999999,-15
"Israel",1064,"Asia",1617.0100000000002,467.41599999999994,652.0895,51.97462406015039,553.0100000000002,"iChao",553.0100000000002,-15
"Argentina",1277,"South America",1689.7824999999998,346.5325,494.75300000000016,32.324393108848845,412.7824999999998,"iChao",412.7824999999998,-15
"Russian Federation",1255,"Europe",1743.9415,414.8995,574.3240000000001,38.95948207171314,488.9414999999999,"iChao",488.9414999999999,-15
"Australia",1615,"Oceania",1869.932,204.48800000000006,316.8454999999999,15.785263157894748,254.932,"iChao",254.932,-15
"China",1367,"Asia",2003.6195,548.4124999999999,738.6800000000003,46.570555961960494,636.6195,"iChao",636.6195,-15
"Turkey",1824,"Asia",2667.476,744.6365000000001,960.085,46.24320175438597,843.4760000000001,"iChao",843.4760000000001,-15
"Brazil",2072,"South America",2692.7205,540.5479999999998,711.9915000000001,29.95755308880308,620.7204999999999,"iChao",620.7204999999999,-15
"Mexico",2265,"North America",2738.7169999999996,406.5479999999998,551.3824999999997,20.91465783664457,473.7169999999997,"iChao",473.7169999999997,-15
"USA",3703,"North America",4232.2375,446.98099999999977,626.6309999999994,14.292128004320826,529.2375000000002,"iChao",529.2375000000002,-15
"Antigua and Barbuda",3,"North America",3,0.1,0.3860078225965262,0,0,"iNEXT",0,-15
"Aruba",2,"North America",2,0.1,0.9455222020842604,0,0,"iNEXT",0,-15
"Cook Islands",4,"Oceania",4.227272727272727,0.1,2.2332946279584203,5.681818181818166,0.22727272727272663,"iNEXT",0.29000000000000004,-15
"Saint-Martin",5,"North America",5,0.1,0.9107524807092062,0,0,"iNEXT",0,-15
"Cayman Islands",4,"North America",5.75,0.1,5.79695821679578,43.75,1.75,"iNEXT",1.75,-15
"Faroe Islands",6,"Europe",7.333333333333333,0.1,10.341127704801547,22.22222222222221,1.333333333333333,"iNEXT",1.3330000000000002,-15
"Bermuda",7,"North America",8.966657404834677,0.1,6.502507314303649,28.09510578335253,1.9666574048346777,"iNEXT",1.9699999999999989,-15
